symbol_id,seal_id,symbol_index,cluster_id
page046_M-12_a_c1_sym_034,page046_M-12_a_c1,34,27
page046_M-12_a_c1_sym_035,page046_M-12_a_c1,35,20
page046_M-12_a_c1_sym_036,page046_M-12_a_c1,36,20
page046_M-12_a_c1_sym_037,page046_M-12_a_c1,37,3
page046_M-12_a_c1_sym_038,page046_M-12_a_c1,38,34
page046_M-12_a_c1_sym_039,page046_M-12_a_c1,39,12
page046_M-12_a_c1_sym_040,page046_M-12_a_c1,40,26
page046_M-12_a_c1_sym_041,page046_M-12_a_c1,41,32
page046_M-12_a_c1_sym_042,page046_M-12_a_c1,42,7
page046_M-12_a_c1_sym_043,page046_M-12_a_c1,43,30
page046_M-12_a_c1_sym_044,page046_M-12_a_c1,44,36
page046_M-12_a_c1_sym_045,page046_M-12_a_c1,45,7
page046_M-12_a_c1_sym_046,page046_M-12_a_c1,46,32
page046_M-12_a_c1_sym_047,page046_M-12_a_c1,47,36
page046_M-12_a_c1_sym_048,page046_M-12_a_c1,48,4
page046_M-12_a_c1_sym_049,page046_M-12_a_c1,49,7
page046_M-12_a_c1_sym_050,page046_M-12_a_c1,50,20
page046_M-12_a_c1_sym_051,page046_M-12_a_c1,51,12
page046_M-12_a_c1_sym_052,page046_M-12_a_c1,52,7
page048_M-17_a_c0_sym_001,page048_M-17_a_c0,1,5
page049_M-19_A_c0_sym_001,page049_M-19_A_c0,1,17
page049_M-19_A_c0_sym_002,page049_M-19_A_c0,2,12
page049_M-20_A_c0_sym_001,page049_M-20_A_c0,1,17
page049_M-20_A_c0_sym_002,page049_M-20_A_c0,2,12
page049_M-21_A_c0_sym_001,page049_M-21_A_c0,1,26
page050_M-23_A_c0_sym_001,page050_M-23_A_c0,1,26
page050_M-23_A_c0_sym_002,page050_M-23_A_c0,2,35
page050_M-23_A_c0_sym_003,page050_M-23_A_c0,3,20
page050_M-24_A_c0_sym_001,page050_M-24_A_c0,1,26
page050_M-24_A_c0_sym_002,page050_M-24_A_c0,2,35
page050_M-24_A_c0_sym_003,page050_M-24_A_c0,3,20
page054_M-34_a_bis_c1_sym_001,page054_M-34_a_bis_c1,1,23
page054_M-34_a_c1_sym_001,page054_M-34_a_c1,1,23
page055_M-36_A_c0_sym_001,page055_M-36_A_c0,1,3
page055_M-36_A_c0_sym_002,page055_M-36_A_c0,2,27
page055_M-36_A_c0_sym_003,page055_M-36_A_c0,3,28
page055_M-36_A_c0_sym_004,page055_M-36_A_c0,4,35
page055_M-36_A_c0_sym_005,page055_M-36_A_c0,5,23
page055_M-36_A_c0_sym_006,page055_M-36_A_c0,6,19
page055_M-36_A_c0_sym_007,page055_M-36_A_c0,7,0
page055_M-36_A_c0_sym_008,page055_M-36_A_c0,8,16
page055_M-36_A_c0_sym_009,page055_M-36_A_c0,9,18
page055_M-36_A_c0_sym_010,page055_M-36_A_c0,10,0
page055_M-36_A_c0_sym_011,page055_M-36_A_c0,11,34
page055_M-36_A_c0_sym_012,page055_M-36_A_c0,12,23
page055_M-36_A_c0_sym_013,page055_M-36_A_c0,13,6
page055_M-36_A_c0_sym_014,page055_M-36_A_c0,14,12
page055_M-36_A_c0_sym_015,page055_M-36_A_c0,15,18
page055_M-36_A_c0_sym_016,page055_M-36_A_c0,16,18
page055_M-36_A_c0_sym_017,page055_M-36_A_c0,17,16
page055_M-36_A_c0_sym_018,page055_M-36_A_c0,18,18
page055_M-36_A_c0_sym_019,page055_M-36_A_c0,19,35
page055_M-36_A_c0_sym_020,page055_M-36_A_c0,20,34
page055_M-36_A_c0_sym_021,page055_M-36_A_c0,21,28
page055_M-36_A_c0_sym_022,page055_M-36_A_c0,22,35
page055_M-36_A_c0_sym_023,page055_M-36_A_c0,23,16
page055_M-36_A_c0_sym_024,page055_M-36_A_c0,24,18
page055_M-36_A_c0_sym_025,page055_M-36_A_c0,25,16
page055_M-36_A_c0_sym_026,page055_M-36_A_c0,26,18
page055_M-36_A_c0_sym_027,page055_M-36_A_c0,27,16
page055_M-36_A_c0_sym_028,page055_M-36_A_c0,28,18
page055_M-36_A_c0_sym_029,page055_M-36_A_c0,29,16
page055_M-36_A_c0_sym_030,page055_M-36_A_c0,30,20
page055_M-36_A_c0_sym_031,page055_M-36_A_c0,31,16
page055_M-36_A_c0_sym_032,page055_M-36_A_c0,32,22
page055_M-36_A_c0_sym_033,page055_M-36_A_c0,33,30
page055_M-36_A_c0_sym_034,page055_M-36_A_c0,34,5
page055_M-36_A_c0_sym_035,page055_M-36_A_c0,35,5
page055_M-36_A_c0_sym_036,page055_M-36_A_c0,36,20
page055_M-36_A_c0_sym_037,page055_M-36_A_c0,37,5
page055_M-36_A_c0_sym_038,page055_M-36_A_c0,38,5
page055_M-36_A_c0_sym_039,page055_M-36_A_c0,39,30
page055_M-37_A_c0_sym_001,page055_M-37_A_c0,1,3
page055_M-37_A_c0_sym_002,page055_M-37_A_c0,2,27
page055_M-37_A_c0_sym_003,page055_M-37_A_c0,3,28
page055_M-37_A_c0_sym_004,page055_M-37_A_c0,4,35
page055_M-37_A_c0_sym_005,page055_M-37_A_c0,5,23
page055_M-37_A_c0_sym_006,page055_M-37_A_c0,6,19
page055_M-37_A_c0_sym_007,page055_M-37_A_c0,7,0
page055_M-37_A_c0_sym_008,page055_M-37_A_c0,8,16
page055_M-37_A_c0_sym_009,page055_M-37_A_c0,9,18
page055_M-37_A_c0_sym_010,page055_M-37_A_c0,10,0
page055_M-37_A_c0_sym_011,page055_M-37_A_c0,11,34
page055_M-37_A_c0_sym_012,page055_M-37_A_c0,12,23
page055_M-37_A_c0_sym_013,page055_M-37_A_c0,13,6
page055_M-37_A_c0_sym_014,page055_M-37_A_c0,14,12
page055_M-37_A_c0_sym_015,page055_M-37_A_c0,15,18
page055_M-37_A_c0_sym_016,page055_M-37_A_c0,16,18
page055_M-37_A_c0_sym_017,page055_M-37_A_c0,17,16
page055_M-37_A_c0_sym_018,page055_M-37_A_c0,18,18
page055_M-37_A_c0_sym_019,page055_M-37_A_c0,19,35
page055_M-37_A_c0_sym_020,page055_M-37_A_c0,20,34
page055_M-37_A_c0_sym_021,page055_M-37_A_c0,21,28
page055_M-37_A_c0_sym_022,page055_M-37_A_c0,22,35
page055_M-37_A_c0_sym_023,page055_M-37_A_c0,23,16
page055_M-37_A_c0_sym_024,page055_M-37_A_c0,24,18
page055_M-37_A_c0_sym_025,page055_M-37_A_c0,25,16
page055_M-37_A_c0_sym_026,page055_M-37_A_c0,26,18
page055_M-37_A_c0_sym_027,page055_M-37_A_c0,27,16
page055_M-37_A_c0_sym_028,page055_M-37_A_c0,28,18
page055_M-37_A_c0_sym_029,page055_M-37_A_c0,29,16
page055_M-37_A_c0_sym_030,page055_M-37_A_c0,30,20
page055_M-37_A_c0_sym_031,page055_M-37_A_c0,31,16
page055_M-37_A_c0_sym_032,page055_M-37_A_c0,32,22
page055_M-37_A_c0_sym_033,page055_M-37_A_c0,33,30
page055_M-37_A_c0_sym_034,page055_M-37_A_c0,34,5
page055_M-37_A_c0_sym_035,page055_M-37_A_c0,35,5
