symbol_id,seal_id,symbol_index,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,stroke_density,bbox_area_ratio,bbox_aspect_ratio,skeleton_pixel_fraction,endpoint_count,junction_count
page657_H-96_a_c1_sym_001,page657_H-96_a_c1,1,0.0023228554504260025,3.6997548368411746e-06,3.402645454593705e-11,6.2826110166692514e-12,6.976795005022379e-23,2.6393704335955535e-15,5.975272645299075e-23,0.0732421875,0.296875,3.3684210526315788,0.03466796875,1.0,133.0
page657_H-97_A_c0_sym_001,page657_H-97_A_c0,1,0.0042285225942627295,1.6194186942192457e-05,1.2710446894163082e-10,1.0038158451587548e-10,1.1337866585183136e-20,3.8082081680874216e-13,1.335754394343504e-22,0.044189453125,0.15380859375,6.3,0.02734375,0.0,96.0
page657_H-97_a_c1_sym_001,page657_H-97_a_c1,1,0.001788405258626824,1.7382329092410306e-06,2.5409320531934527e-11,2.4189073442614326e-11,5.445162997493641e-22,3.047843384755571e-14,-2.512523132215951e-22,0.26904296875,0.375,2.6666666666666665,0.209228515625,2.0,830.0
page657_H-98_A_c0_sym_001,page657_H-98_A_c0,1,0.0042285225942627295,1.6194186942192457e-05,1.2710446894163082e-10,1.0038158451587548e-10,1.1337866585183136e-20,3.8082081680874216e-13,1.335754394343504e-22,0.044189453125,0.15380859375,6.3,0.02734375,0.0,96.0
page657_H-98_a_c1_sym_001,page657_H-98_a_c1,1,0.001788405258626824,1.7382329092410306e-06,2.5409320531934527e-11,2.4189073442614326e-11,5.445162997493641e-22,3.047843384755571e-14,-2.512523132215951e-22,0.26904296875,0.375,2.6666666666666665,0.209228515625,2.0,830.0
page657_H-99_E_c2_sym_001,page657_H-99_E_c2,1,0.001788405258626824,1.7382329092410306e-06,2.5409320531934527e-11,2.4189073442614326e-11,5.445162997493641e-22,3.047843384755571e-14,-2.512523132215951e-22,0.26904296875,0.375,2.6666666666666665,0.209228515625,2.0,830.0
page658_H-102_b_c0_sym_001,page658_H-102_b_c0,1,0.0036726742099571787,1.1349364715465993e-05,5.271013858441173e-09,5.5746047455348146e-09,3.0217349394388405e-17,1.8778348617949808e-11,-2.230660219283876e-19,0.053466796875,0.203125,4.923076923076923,0.0244140625,3.0,67.0
page658_H-102_B_c2_sym_001,page658_H-102_B_c2,1,0.0036726742099571787,1.1349364715465993e-05,5.271013858441173e-09,5.5746047455348146e-09,3.0217349394388405e-17,1.8778348617949808e-11,-2.230660219283876e-19,0.053466796875,0.203125,4.923076923076923,0.0244140625,3.0,67.0
page658_H-102_D_c1_sym_001,page658_H-102_D_c1,1,0.002433528757499561,2.5852560658151958e-06,1.9214278331639597e-10,5.140863584976227e-11,-3.3122963449547085e-21,7.247762237186474e-14,-3.890271331356237e-21,0.212890625,0.484375,0.484375,0.117431640625,9.0,352.0
page659_H-103_a_c0_sym_001,page659_H-103_a_c0,1,0.004245120714747039,1.647939664958132e-05,3.6122736268802422e-09,3.5885650272028786e-09,1.2920268031139629e-17,1.4556237979214718e-11,4.597789641762038e-21,0.0302734375,0.10986328125,5.555555555555555,0.00927734375,0.0,38.0
