page,line_id,caption_index,text_raw,text_norm,x,y,w,h,x_center,site,number,side,part,variant,normalized_code
409,75,0,L-165 O18 1831 LTH SRG 1217 _ HU 1267 Lap 677 mm ™ ASE-VC,L-165 O18 1831 LTH SRG 1217 _ HU 1267 Lap 677 mm ™ ASE-VC,125,2557,1870,51,239,L,165,O,,,L-165 O
409,76,0,L-167 6162 1865 LTH SRG 1243 HU 1271 oa po m ™ ASEVE,L-167 6162 1865 LTH SRG 1243 HU 1271 oa po m ™ ASEVE,125,2591,1869,63,232,L,167,,,,L-167
409,77,0,L-168 6165 1868 LTH SRG 1187 HU 1250: C: ASI : ™ m Rao pL.CXCI:27,L-168 6165 1868 LTH SRG 1187 HU 1250: C: ASI : ™ m Rao pL.CXCI:27,124,2623,1970,52,214,L,168,,,,L-168
409,79,0,L-170 6160 1863 LTH SRG 1223 HU 1284 L253 6283. ™ ™ ASLVC.,L-170 6160 1863 LTH SRG 1223 HU 1284 L253 6283. ™ ™ ASLVC.,125,2686,1869,50,221,L,170,,,,L-170
409,81,0,L-172 6251 18370) LTH SRG 1205 HU 1182 L2ss e2ai ™ m ASEVC,L-172 6251 18370) LTH SRG 1205 HU 1182 L2ss e2ai ™ m ASEVC,125,2750,1870,50,221,L,172,,,,L-172
409,84,0,L-175 6072 1833 LTH SRG 1189 HU 1209 L237 626 7 ™ Rao pLCXCI A: 7,L-175 6072 1833 LTH SRG 1189 HU 1209 L237 626 7 ™ Rao pLCXCI A: 7,125,2847,1985,52,216,L,175,,,,L-175
409,85,0,"L-1%6 6150 1843 LTH SRG 1219 HU 1239; A bie ASI L288 6288 7 ™ Rao pLCXC1 B:15,","L-1%6 6150 1843 LTH SRG 1219 HU 1239; A bie ASI L288 6288 7 ™ Rao pLCXC1 B:15,",125,2880,1997,49,163,L,1,,,,L-1
409,88,0,L-179 6223 RES LTH SRG 1209 HU 1192 L260 6289 7 ™ ASEVC,L-179 6223 RES LTH SRG 1209 HU 1192 L260 6289 7 ™ ASEVC,125,2978,1871,47,227,L,179,,,,L-179
409,90,0,L-18l 6193 18768(7)  LTHSRG 1228 AST L262 6271 ™ ™ ASLVC,L-18l 6193 18768(7) LTHSRG 1228 AST L262 6271 ™ ™ ASLVC,125,3043,1870,48,227,L,18,l,,,L-18 l
409,92,0,L-183 6242 3746 LTH SRG 1254 HU 1286 A bis: ASI-VC,L-183 6242 3746 LTH SRG 1254 HU 1286 A bis: ASI-VC,125,3107,1938,49,241,L,183,,,,L-183
409,93,0,L-185 6234 1849 LTH SRG 1183 HU 1241; A bie ASI L265 658 7 ™ Rao pLCXC! B:19;,L-185 6234 1849 LTH SRG 1183 HU 1241; A bie ASI L265 658 7 ™ Rao pLCXC! B:19;,125,3173,1995,47,202,L,185,,,,L-185
409,94,0,L-186 618} 1931 LTH SRG 1176 HU 1263 A bi: ASLVC,L-186 618} 1931 LTH SRG 1176 HU 1263 A bi: ASLVC,124,3202,1938,53,245,L,186,,,,L-186
409,95,0,L-87 6144 jet LTH SRG 1280 HU 1217 L-%6 «222 7 7 Rao pLOCXIX 8:3;,L-87 6144 jet LTH SRG 1280 HU 1217 L-%6 «222 7 7 Rao pLOCXIX 8:3;,125,3238,2001,39,201,L,87,,,,L-87
410,1,0,374 DATA L-267 to C-18,374 DATA L-267 to C-18,151,84,636,42,512,L,267,t,,,L-267 t
410,1,1,374 DATA L-267 to C-18,374 DATA L-267 to C-18,151,84,636,42,729,C,18,,,,C-18
410,3,0,267 6323 7 ™ Rao plL.OCKXXIL3 K-35 TIOk «KLE 16067 =AST 681.19 HU 63; & HU 103/87,267 6323 7 ™ Rao plL.OCKXXIL3 K-35 TIOk «KLE 16067 =AST 681.19 HU 63; & HU 103/87,155,240,2016,43,976,K,35,T,,,K-35 T
410,4,0,Lis 6327 77 ™ Ran pLOCKXXIV:6 K-56 7063 KLB2902? ASI 68.1.6 HU SO,Lis 6327 77 ™ Ran pLOCKXXIV:6 K-56 7063 KLB2902? ASI 68.1.6 HU SO,154,272,1850,55,1079,K,56,,,,K-56
410,7,0,"L27i 6254 ™ ™ Rao pl.CXCI 8:32; A bis, K-58 7O7S KLB) 17841? ASI 681.25 HU","L27i 6254 ™ ™ Rao pl.CXCI 8:32; A bis, K-58 7O7S KLB) 17841? ASI 681.25 HU",153,374,1851,39,1191,K,58,,,,K-58
410,10,0,"A bic ASLVC K-60 7124 KLB221504 ASI 681,72 HU 72","A bic ASLVC K-60 7124 KLB221504 ASI 681,72 HU 72",713,474,1289,29,1102,K,60,,,,K-60
410,11,0,L232 «em ™ LAR 57-58 pl.20:4 K-6l 7062 KLBIIR27 ASI GR 1S nUu49,L232 «em ™ LAR 57-58 pl.20:4 K-6l 7062 KLBIIR27 ASI GR 1S nUu49,152,501,1849,45,1076,K,6,l,,,K-6 l
410,13,0,A bis: ASL-VC K-62 7034 KLB29734(1) ASI 681.27 HU 4,A bis: ASL-VC K-62 7034 KLB29734(1) ASI 681.27 HU 4,713,561,1291,49,1130,K,62,,,,K-62
410,14,0,L275 633 ™ 7 Rao pLCXCIV B44 K-63 «7121 KLBIIS00 AST 68.134 HU?,L275 633 ™ 7 Rao pLCXCIV B44 K-63 «7121 KLBIIS00 AST 68.134 HU?,151,597,1836,37,1069,K,63,,,,K-63
410,15,0,L-27% 6260 77 ™ Rao pLCXCIV AM; K-6t 7136 «-KLB24166 «= ASI 68.1.67 HU 4i,L-27% 6260 77 ™ Rao pLCXCIV AM; K-6t 7136 «-KLB24166 «= ASI 68.1.67 HU 4i,150,628,1848,47,200,L,27,,,,L-27
410,15,1,L-27% 6260 77 ™ Rao pLCXCIV AM; K-6t 7136 «-KLB24166 «= ASI 68.1.67 HU 4i,L-27% 6260 77 ™ Rao pLCXCIV AM; K-6t 7136 «-KLB24166 «= ASI 68.1.67 HU 4i,150,628,1848,47,1023,K,6,t,,,K-6 t
410,16,0,A bis: ASL-VC K-65 7038 KLB2 9734) ASI 68.1.77 MU 77; a HU )01/87,A bis: ASL-VC K-65 7038 KLB2 9734) ASI 68.1.77 MU 77; a HU )01/87,712,661,1455,47,1081,K,65,,,,K-65
410,17,0,"L277 oz ™ ™ Rao pLCXCIV A:40 K-46 «TOI, | KL 976 ASI 68.1.7 HU 51","L277 oz ™ ™ Rao pLCXCIV A:40 K-46 «TOI, | KL 976 ASI 68.1.7 HU 51",150,693,1847,42,1045,K,46,,,,K-46
410,18,0,L2% 6262 77 ™ Rao pLCXCIV A:43; A bie K-67 706] KLBIA2 148 ASI 68.171 HUTI,L2% 6262 77 ™ Rao pLCXCIV A:43; A bie K-67 706] KLBIA2 148 ASI 68.171 HUTI,149,723,1848,41,1160,K,67,,,,K-67
410,19,0,Al 16 (1960) pil. 7 Act: A ter; K-68 71% KLB 19S27 ASI 681.47 AUW,Al 16 (1960) pil. 7 Act: A ter; K-68 71% KLB 19S27 ASI 681.47 AUW,708,756,1288,49,1391,K,68,,,,K-68
410,20,0,ASLVC K-09 7082 KLBIIG60 ASI 68.126 HU?,ASLVC K-09 7082 KLBIIG60 ASI 68.126 HU?,708,789,1292,39,989,K,9,,,,K-9
410,21,0,L279 6265 ™ eed Rao pLCXCIV A:3% A bis K-70 M6 KLBI 16047 ASI68.1.11 HU 55,L279 6265 ™ eed Rao pLCXCIV A:3% A bis K-70 M6 KLBI 16047 ASI68.1.11 HU 55,150,818,1848,48,1198,K,70,M,,,K-70 M
410,22,0,Al 16 pi2t B:2 A ter: ASLVC K-7) 7083) -KLBI 1646 «ASI 68.116 HUGO,Al 16 pi2t B:2 A ter: ASLVC K-7) 7083) -KLBI 1646 «ASI 68.116 HUGO,711,855,1288,32,1286,K,7,,,,K-7
410,23,0,L-280 624 TT ™ Rao pLCXClV A? K-72 704 KLBII7780 ASI 68.131 HU 1D,L-280 624 TT ™ Rao pLCXClV A? K-72 704 KLBII7780 ASI 68.131 HU 1D,150,882,1849,40,235,L,280,,,,L-280
410,23,1,L-280 624 TT ™ Rao pLCXClV A? K-72 704 KLBII7780 ASI 68.131 HU 1D,L-280 624 TT ™ Rao pLCXClV A? K-72 704 KLBII7780 ASI 68.131 HU 1D,150,882,1849,40,1074,K,72,,,,K-72
410,24,0,A bis: ASL-VC K-73 7085) «KLEE 18352 ASI 681.28 HUD,A bis: ASL-VC K-73 7085) «KLEE 18352 ASI 681.28 HUD,711,920,1287,32,1127,K,73,,,,K-73
410,25,0,L2kl 6261 7H ™ Rao pLCXCTV A:3t K-74 «7OR7 «=KLBI 19182. ASI 68.120 HU 12,L2kl 6261 7H ™ Rao pLCXCTV A:3t K-74 «7OR7 «=KLBI 19182. ASI 68.120 HU 12,149,944,1849,39,1022,K,74,,,,K-74
410,26,0,A bis: ASLVC K-75 086 KLBSIIS70S ASI 681.56 HUM,A bis: ASLVC K-75 086 KLBSIIS70S ASI 681.56 HUM,711,982,1287,39,1135,K,75,,,,K-75
410,27,0,"L282 6268 ™ Rao plLCXCIV 8:49, K-76 7144 KLB2ISIIK ASIO8130 HUT","L282 6268 ™ Rao plLCXCIV 8:49, K-76 7144 KLB2ISIIK ASIO8130 HUT",150,1010,1845,39,1131,K,76,,,,K-76
410,28,0,A bie ASEVC K-77 «(7131 «=KLB221425 ASI 681.74 HU 74,A bie ASEVC K-77 «(7131 «=KLB221425 ASI 681.74 HU 74,712,1043,1285,46,1070,K,77,,,,K-77
410,29,0,1-243 6310 77 bed Rao phLCXCIV A:37 K-78 7019 KLN2 3844 = AST 681.33 HUS,1-243 6310 77 bed Rao phLCXCIV A:37 K-78 7019 KLN2 3844 = AST 681.33 HUS,149,1071,1835,48,1130,K,78,,,,K-78
410,30,0,"L274 6311 ™ m Rao pi,CXCIV Asda K-79 7142 surface find §=—- Rohtak Sarasvati: no.274","L274 6311 ™ m Rao pi,CXCIV Asda K-79 7142 surface find §=-- Rohtak Sarasvati: no.274",149,1107,1966,42,956,K,79,,,,K-79
410,31,0,LS 6315 mH ™ Rao pLCXCIV B:48 K-80 7078 KLBT (7892 ASI 68.183 HU &3,LS 6315 mH ™ Rao pLCXCIV B:48 K-80 7078 KLBT (7892 ASI 68.183 HU &3,149,1137,1847,48,1044,K,80,,,,K-80
410,33,0,"Al 16 pl, 12:6 K-82 7060 =KLBI 7295 (G) AST 68.1.86 HU 86","Al 16 pl, 12:6 K-82 7060 =KLBI 7295 (G) AST 68.1.86 HU 86",707,1205,1291,46,1103,K,82,,,,K-82
410,34,0,L277 a6 om” ™ Rao pLCXCIV A:4}; K-83) 7141) KLB2 19617 ASI 681.70 HU 44,L277 a6 om” ™ Rao pLCXCIV A:4}; K-83) 7141) KLB2 19617 ASI 681.70 HU 44,148,1233,1847,48,1032,K,83,,,,K-83
410,37,0,"L289 6316 7 ™7 Rao pLCXClY B:s0 K-85 7003 KLB211204 ASI 68.1.43 A: ASI; A bis, B; HU 17","L289 6316 7 ™7 Rao pLCXClY B:s0 K-85 7003 KLB211204 ASI 68.1.43 A: ASI; A bis, B; HU 17",148,1330,2053,50,962,K,85,,,,K-85
410,38,0,LO 6m =™ ™ Rao pLCXCIV B46 K-86 079 KLBLIGORS ASI 68.154 HU 28,LO 6m =™ ™ Rao pLCXCIV B46 K-86 079 KLBLIGORS ASI 68.154 HU 28,148,1363,1848,47,1027,K,86,,,,K-86
410,39,0,K-l = 7016 KL 1.2249 (2) ASI 68.158 HU 32: ¢ HU 8H? K-87) 7129) KLB1 19348 ASI 68.157 A 14-2 ASI; A 1-2 bie HU 31,K-l = 7016 KL 1.2249 (2) ASI 68.158 HU 32: ¢ HU 8H? K-87) 7129) KLB1 19348 ASI 68.157 A 14-2 ASI; A 1-2 bie HU 31,147,1388,2116,57,1158,K,87,,,,K-87
410,40,0,"K2 7030 KLB29087 ASI 68,141 HU 15; « AST K-88 67132 KLB221S05S ASI 68.1.82 HU #2","K2 7030 KLB29087 ASI 68,141 HU 15; « AST K-88 67132 KLB221S05S ASI 68.1.82 HU #2",148,1422,1847,53,1152,K,88,,,,K-88
410,41,0,"K3 7105 KLBLI4S70 ASI 61.49 A. at ASI: A bis, B.C: HU 23 K-89 7064 KLBIA2 868 ASI 68.1.76 HU 83/07","K3 7105 KLBLI4S70 ASI 61.49 A. at ASI: A bis, B.C: HU 23 K-89 7064 KLBIA2 868 ASI 68.1.76 HU 83/07",148,1455,1886,53,1293,K,89,,,,K-89
410,42,0,K4 7072 «KLBQ 12349 ASI 681.55 HU? K-9) 7070 KLBI21506 ASI HU 1306,K4 7072 «KLBQ 12349 ASI 681.55 HU? K-9) 7070 KLBI21506 ASI HU 1306,143,1486,1880,46,1182,K,9,,,,K-9
410,43,0,KS 7022 KLBI 7295 (2) ASI 68.139 HU 3 K-91 «7014 =KLB! surf887 ASI HU 33347,KS 7022 KLBI 7295 (2) ASI 68.139 HU 3 K-91 «7014 =KLB! surf887 ASI HU 33347,145,1518,1901,56,1171,K,91,,,,K-91
410,44,0,KH 7029 KLB29434 ASI 6K140 HU 4; a ASI K-92 7012 ~KLB?7? ASI Au,KH 7029 KLB29434 ASI 6K140 HU 4; a ASI K-92 7012 ~KLB?7? ASI Au,146,1551,1819,51,1344,K,92,,,,K-92
410,45,0,"K-7 7113 KLBLIV730) «ASI 68.4,12 HU 56 K-93 7042 KLE? NMI 13000 HU 1416","K-7 7113 KLBLIV730) «ASI 68.4,12 HU 56 K-93 7042 KLE? NMI 13000 HU 1416",147,1583,1876,43,199,K,7,,,,K-7
410,45,1,"K-7 7113 KLBLIV730) «ASI 68.4,12 HU 56 K-93 7042 KLE? NMI 13000 HU 1416","K-7 7113 KLBLIV730) «ASI 68.4,12 HU 56 K-93 7042 KLE? NMI 13000 HU 1416",147,1583,1876,43,1243,K,93,,,,K-93
410,47,0,K9 7031 KLB29435 ASI 68.142 HU 16 K-94 7147 KLB 21712 ASI HU 120/87,K9 7031 KLB29435 ASI 68.142 HU 16 K-94 7147 KLB 21712 ASI HU 120/87,146,1651,1899,41,1180,K,94,,,,K-94
410,48,0,K-10 «7020 «KLBI2247 ASI 681.42 HU Mw HU 977 K-9S TI KLBI2IER9 AST HU 387,K-10 «7020 «KLBI2247 ASI 681.42 HU Mw HU 977 K-9S TI KLBI2IER9 AST HU 387,145,1683,1899,41,210,K,10,,,,K-10
410,48,1,K-10 «7020 «KLBI2247 ASI 681.42 HU Mw HU 977 K-9S TI KLBI2IER9 AST HU 387,K-10 «7020 «KLBI2247 ASI 681.42 HU Mw HU 977 K-9S TI KLBI2IER9 AST HU 387,145,1683,1899,41,1380,K,9,S,,,K-9 S
410,50,0,K-12) 7034 = KLBI 1825%(1)AS! 68.137 HU t; & HU 98a? K-97 7015S KLB221714 ASI HU 324/87,K-12) 7034 = KLBI 1825%(1)AS! 68.137 HU t; & HU 98a? K-97 7015S KLB221714 ASI HU 324/87,146,1743,1898,46,189,K,12,,,,K-12
410,50,1,K-12) 7034 = KLBI 1825%(1)AS! 68.137 HU t; & HU 98a? K-97 7015S KLB221714 ASI HU 324/87,K-12) 7034 = KLBI 1825%(1)AS! 68.137 HU t; & HU 98a? K-97 7015S KLB221714 ASI HU 324/87,146,1743,1898,46,1356,K,97,,,,K-97
410,51,0,K-13) 7117 KLIBI 18257(2) ASI 68.1.60 HU 34; » HU 85/87 K-98 «697049 «KLB??? ASI ASI 61,K-13) 7117 KLIBI 18257(2) ASI 68.1.60 HU 34; » HU 85/87 K-98 «697049 «KLB??? ASI ASI 61,145,1773,1874,52,188,K,13,,,,K-13
410,51,1,K-13) 7117 KLIBI 18257(2) ASI 68.1.60 HU 34; » HU 85/87 K-98 «697049 «KLB??? ASI ASI 61,K-13) 7117 KLIBI 18257(2) ASI 68.1.60 HU 34; » HU 85/87 K-98 «697049 «KLB??? ASI ASI 61,145,1773,1874,52,1405,K,98,,,,K-98
410,52,0,K-14 7023 KLB2S41 = 6ASI GR 1.14 HU S&; x HU 91/87 K-99 7010 KLB221716 ASI HU 329/47,K-14 7023 KLB2S41 = 6ASI GR 1.14 HU S&; x HU 91/87 K-99 7010 KLB221716 ASI HU 329/47,145,1807,1900,53,201,K,14,,,,K-14
410,52,1,K-14 7023 KLB2S41 = 6ASI GR 1.14 HU S&; x HU 91/87 K-99 7010 KLB221716 ASI HU 329/47,K-14 7023 KLB2S41 = 6ASI GR 1.14 HU S&; x HU 91/87 K-99 7010 KLB221716 ASI HU 329/47,145,1807,1900,53,1355,K,99,,,,K-99
410,53,0,K-IS 7122 -KLB2 18629) ASI 64.138 HU2 K-100 7048 KLB221702 ASI?) Hire! & Auboyer pl. 2a,K-IS 7122 -KLB2 18629) ASI 64.138 HU2 K-100 7048 KLB221702 ASI?) Hire! & Auboyer pl. 2a,145,1837,2044,58,1108,K,100,,,,K-100
410,54,0,KLUB? 19879 K-101 7007 KLBI12I709 ASI?? HU 1300,KLUB? 19879 K-101 7007 KLBI12I709 ASI?? HU 1300,334,1876,1688,40,872,K,101,,,,K-101
410,55,0,K-16 7ilé) KLSQN773) ASI 681.22 HU 66; & ASI K-102 7009 =KLBI}? ASI HU 32687,K-16 7ilé) KLSQN773) ASI 681.22 HU 66; & ASI K-102 7009 =KLBI}? ASI HU 32687,144,1906,1903,47,206,K,16,,,,K-16
410,55,1,K-16 7ilé) KLSQN773) ASI 681.22 HU 66; & ASI K-102 7009 =KLBI}? ASI HU 32687,K-16 7ilé) KLSQN773) ASI 681.22 HU 66; & ASI K-102 7009 =KLBI}? ASI HU 32687,144,1906,1903,47,1345,K,102,,,,K-102
410,56,0,Kl?) «7103 «KLB2 12870 ASI 681.78 HU 78 K-10} 7011 KLa?? ™ ASI,Kl?) «7103 «KLB2 12870 ASI 681.78 HU 78 K-10} 7011 KLa?? ™ ASI,144,1936,1822,50,1378,K,10,,,,K-10
410,57,0,"KIS TIit KLB217529 ASI68.14 A: ASL, x HU 95/87 K-04 7088 KLETI ™ ASI 49/1971","KIS TIit KLB217529 ASI68.14 A: ASL, x HU 95/87 K-04 7088 KLETI ™ ASI 49/1971",143,1970,1914,48,1389,K,4,,,,K-4
410,58,0,K-19) (7123) KLE 21503) ASI 68.1.74 HU 73 K-05 147 KLB?? ™ ASI 49/197),K-19) (7123) KLE 21503) ASI 68.1.74 HU 73 K-05 147 KLB?? ™ ASI 49/197),143,2002,1914,45,197,K,19,,,,K-19
410,58,1,K-19) (7123) KLE 21503) ASI 68.1.74 HU 73 K-05 147 KLB?? ™ ASI 49/197),K-19) (7123) KLE 21503) ASI 68.1.74 HU 73 K-05 147 KLB?? ™ ASI 49/197),143,2002,1914,45,1359,K,5,,,,K-5
410,59,0,K-16 7006 «=KLBT?P bf ASI,K-16 7006 «=KLBT?P bf ASI,1359,2042,603,43,1419,K,16,,,,K-16
410,60,0,"K-20 71i6 =KLBI 189027 ASI 681.17 HU 61, 2 HU 96/87 K-107 7349 «KLEQITIE AST HU 33287","K-20 71i6 =KLBI 189027 ASI 681.17 HU 61, 2 HU 96/87 K-107 7349 «KLEQITIE AST HU 33287",144,2065,1895,44,199,K,20,,,,K-20
410,60,1,"K-20 71i6 =KLBI 189027 ASI 681.17 HU 61, 2 HU 96/87 K-107 7349 «KLEQITIE AST HU 33287","K-20 71i6 =KLBI 189027 ASI 681.17 HU 61, 2 HU 96/87 K-107 7349 «KLEQITIE AST HU 33287",144,2065,1895,44,1370,K,107,,,,K-107
410,62,0,"K2)) (7137) KLBI ISPS 1) AS! 68.1.9 HU K-108 7008 KLBI2I6% Asi HU 323,87","K2)) (7137) KLBI ISPS 1) AS! 68.1.9 HU K-108 7008 KLBI2I6% Asi HU 323,87",143,2124,1896,50,1249,K,108,,,,K-108
410,63,0,K-22) 7037 KLBI 2249 (1) ASI 68.1.20 HU 64; w HU 99/87 K-109 7146) KLB??? mn HU 722/87,K-22) 7037 KLBI 2249 (1) ASI 68.1.20 HU 64; w HU 99/87 K-109 7146) KLB??? mn HU 722/87,143,2155,1892,55,187,K,22,,,,K-22
410,63,1,K-22) 7037 KLBI 2249 (1) ASI 68.1.20 HU 64; w HU 99/87 K-109 7146) KLB??? mn HU 722/87,K-22) 7037 KLBI 2249 (1) ASI 68.1.20 HU 64; w HU 99/87 K-109 7146) KLB??? mn HU 722/87,143,2155,1892,55,1419,K,109,,,,K-109
410,64,0,K-23) 7104) «KLIBI 14507 (ASI 68.1.16 HU 3; a HU 100/87 K-10 7018 =KLB?? 7? ASI,K-23) 7104) «KLIBI 14507 (ASI 68.1.16 HU 3; a HU 100/87 K-10 7018 =KLB?? 7? ASI,143,2194,1818,48,189,K,23,,,,K-23
410,64,1,K-23) 7104) «KLIBI 14507 (ASI 68.1.16 HU 3; a HU 100/87 K-10 7018 =KLB?? 7? ASI,K-23) 7104) «KLIBI 14507 (ASI 68.1.16 HU 3; a HU 100/87 K-10 7018 =KLB?? 7? ASI,143,2194,1818,48,1489,K,10,,,,K-10
410,65,0,K-24 «67140 «KLB?21710 ASI 68.1.87 HU a7 K-lll 7iS0 KLB2I723 AST HU 3257,K-24 «67140 «KLB?21710 ASI 68.1.87 HU a7 K-lll 7iS0 KLB2I723 AST HU 3257,143,2225,1900,50,208,K,24,,,,K-24
410,66,0,"K-25 7108 )«=KLB2 16174 ASI 681.11 HU 54; & ASI exc.mo? K-112 74) KLBYrr ™"" HU TRI","K-25 7108 )«=KLB2 16174 ASI 681.11 HU 54; & ASI exc.mo? K-112 74) KLBYrr ™"" HU TRI",143,2258,1886,46,200,K,25,,,,K-25
410,66,1,"K-25 7108 )«=KLB2 16174 ASI 681.11 HU 54; & ASI exc.mo? K-112 74) KLBYrr ™"" HU TRI","K-25 7108 )«=KLB2 16174 ASI 681.11 HU 54; & ASI exc.mo? K-112 74) KLBYrr ™"" HU TRI",143,2258,1886,46,1500,K,112,,,,K-112
410,67,0,K-26 67125) «amrficefind = Rohtak Saraswati no. 273 K-13 7153 KLB121725 ASI HU 32y87,K-26 67125) «amrficefind = Rohtak Saraswati no. 273 K-13 7153 KLB121725 ASI HU 32y87,143,2283,1893,50,199,K,26,,,,K-26
410,67,1,K-26 67125) «amrficefind = Rohtak Saraswati no. 273 K-13 7153 KLB121725 ASI HU 32y87,K-26 67125) «amrficefind = Rohtak Saraswati no. 273 K-13 7153 KLB121725 ASI HU 32y87,143,2283,1893,50,1371,K,13,,,,K-13
410,68,0,K27 7032 KLB2963) ASI 68145 HU Ie K-1l4 7151 KLB 2171S AS} HU 327/87 .,K27 7032 KLB2963) ASI 68145 HU Ie K-1l4 7151 KLB 2171S AS} HU 327/87 .,143,2322,2269,44,1309,K,1,l,,,K-1 l
410,69,0,K-28 «7110 «~KLBI 1845 «ASI 68.135 HU & w& HU 86/87 K-ltS 7089 KLE?) ™ ASI 49/1971,K-28 «7110 «~KLBI 1845 «ASI 68.135 HU & w& HU 86/87 K-ltS 7089 KLE?) ™ ASI 49/1971,143,2350,1909,46,201,K,28,,,,K-28
410,70,0,K-29 7102) KLBD 8219 8 ASI 6.1.48 HU 22 K-16 7185 KLE?” bias Al 16 (1960) pl. XXVIET,K-29 7102) KLBD 8219 8 ASI 6.1.48 HU 22 K-16 7185 KLE?” bias Al 16 (1960) pl. XXVIET,143,2382,2055,51,204,K,29,,,,K-29
410,70,1,K-29 7102) KLBD 8219 8 ASI 6.1.48 HU 22 K-16 7185 KLE?” bias Al 16 (1960) pl. XXVIET,K-29 7102) KLBD 8219 8 ASI 6.1.48 HU 22 K-16 7185 KLE?” bias Al 16 (1960) pl. XXVIET,143,2382,2055,51,1182,K,16,,,,K-16
410,71,0,Kw 7000 KLB 3 ASI 68.150 HU K-17 7156 KLB??? ™ Al 16 (1060) pl. XL6,Kw 7000 KLB 3 ASI 68.150 HU K-17 7156 KLB??? ™ Al 16 (1060) pl. XL6,142,2418,2012,52,1057,K,17,,,,K-17
410,72,0,"K-31) «Til «= KLBI 2248) = AS] G8.1.68 HU 42 KAlK 7152 KLB2 21628 ASI MU 331,87","K-31) «Til «= KLBI 2248) = AS] G8.1.68 HU 42 KAlK 7152 KLB2 21628 ASI MU 331,87",142,2446,1893,48,189,K,31,,,,K-31
410,73,0,K-32 7076 KLE! ISISXNI)ASIGONI.32 HUD K-19 7039 KLBIINS35 ASI HU 11887,K-32 7076 KLE! ISISXNI)ASIGONI.32 HUD K-19 7039 KLBIINS35 ASI HU 11887,142,2482,1893,44,209,K,32,,,,K-32
410,73,1,K-32 7076 KLE! ISISXNI)ASIGONI.32 HUD K-19 7039 KLBIINS35 ASI HU 11887,K-32 7076 KLE! ISISXNI)ASIGONI.32 HUD K-19 7039 KLBIINS35 ASI HU 11887,142,2482,1893,44,1237,K,19,,,,K-19
410,74,0,"K-33) «7039 «(KLB2 11222) «ASI 68.1,79 HU 79, w HU 29/87 K-120 7043 KLB2 12871 NMI HU 1414","K-33) «7039 «(KLB2 11222) «ASI 68.1,79 HU 79, w HU 29/87 K-120 7043 KLB2 12871 NMI HU 1414",142,2514,1871,42,183,K,33,,,,K-33
410,74,1,"K-33) «7039 «(KLB2 11222) «ASI 68.1,79 HU 79, w HU 29/87 K-120 7043 KLB2 12871 NMI HU 1414","K-33) «7039 «(KLB2 11222) «ASI 68.1,79 HU 79, w HU 29/87 K-120 7043 KLB2 12871 NMI HU 1414",142,2514,1871,42,1389,K,120,,,,K-120
410,76,0,K-35 7133 KLB2 1603! ASI 68.115 HU 99; w HU 92/47 K-12) 7080 KLB2 16948 ASt HU IM,K-35 7133 KLB2 1603! ASI 68.115 HU 99; w HU 92/47 K-12) 7080 KLB2 16948 ASt HU IM,142,2575,1869,45,199,K,35,,,,K-35
410,76,1,K-35 7133 KLB2 1603! ASI 68.115 HU 99; w HU 92/47 K-12) 7080 KLB2 16948 ASt HU IM,K-35 7133 KLB2 1603! ASI 68.115 HU 99; w HU 92/47 K-12) 7080 KLB2 16948 ASt HU IM,142,2575,1869,45,1341,K,12,,,,K-12
410,77,0,K-36 7135 KLBI2250 ASI 68.152 HU 26 Kel22 7081 KLB149R3 ASI HU 334/47,K-36 7135 KLBI2250 ASI 68.152 HU 26 Kel22 7081 KLB149R3 ASI HU 334/47,142,2609,1894,45,210,K,36,,,,K-36
410,78,0,K-37 7073 KLB217729 ASI 68.113 HU 57,K-37 7073 KLB217729 ASI 68.113 HU 57,142,2635,631,41,185,K,37,,,,K-37
410,79,0,"K-38 =TI3R) «KLB2 14984 ASI 68.1.18 HU 62 C1 5025 CH 3817 ASI 63.104 HU 90, a CE pleas","K-38 =TI3R) «KLB2 14984 ASI 68.1.18 HU 62 C1 5025 CH 3817 ASI 63.104 HU 90, a CE pleas",141,2668,2022,49,199,K,38,,,,K-38
410,80,0,K-39 «7025 «KLB25059 ASI 68.1.6) HU SS c2 S028 CH 2293 ASl6ti224 «Hus,K-39 «7025 «KLB25059 ASI 68.1.6) HU SS c2 S028 CH 2293 ASl6ti224 «Hus,141,2704,1858,38,208,K,39,,,,K-39
410,81,0,K-40 7126 KLB221705 ASI 68.184 HU S4 C3 5063 CH23K9 ASI63.1223 HU Sti; a ASI,K-40 7126 KLB221705 ASI 68.184 HU S4 C3 5063 CH23K9 ASI63.1223 HU Sti; a ASI,141,2731,1947,52,205,K,40,,,,K-40
410,82,0,K-41 7017) KLB2 5617 2) ASI 681.81 A: ASI» HU 94a? C4 5039 CH2I90 ASI 63.12.14 ASI,K-41 7017) KLB2 5617 2) ASI 681.81 A: ASI» HU 94a? C4 5039 CH2I90 ASI 63.12.14 ASI,140,2761,1813,46,195,K,41,,,,K-41
410,84,0,K-43) 7071s KLB2 16947 ASI 68.1.3 HU 47; w AST C6 SO CH4as2 ASI 63.11.236 ASI,K-43) 7071s KLB2 16947 ASI 68.1.3 HU 47; w AST C6 SO CH4as2 ASI 63.11.236 ASI,139,2830,1814,41,186,K,43,,,,K-43
