page,line_id,caption_index,text_raw,text_norm,x,y,w,h,x_center,site,number,side,part,variant,normalized_code
20,25,0,of tablets is held in the hand of a kneeling or standing man-sign (cf. H-247 A). In the moulded,of tablets is held in the hand of a kneeling or standing man-sign (cf. H-247 A). In the moulded,237,1995,2026,55,1825,H,247,A,,,H-247 A
20,26,0,"tablets M-478 and M-479, the sign combination of 4 + U stands next to an iconographic scene where","tablets M-478 and M-479, the sign combination of 4 + U stands next to an iconographic scene where",239,2062,2023,58,478,M,478,a,,,M-478 a
20,26,1,"tablets M-478 and M-479, the sign combination of 4 + U stands next to an iconographic scene where","tablets M-478 and M-479, the sign combination of 4 + U stands next to an iconographic scene where",239,2062,2023,58,666,M,479,,,,M-479
20,32,0,"classes of Indus inscriptions, although cases like the above cited tablets M-478 and M-479 may","classes of Indus inscriptions, although cases like the above cited tablets M-478 and M-479 may",239,2460,2025,73,1930,M,478,a,,,M-478 a
20,32,1,"classes of Indus inscriptions, although cases like the above cited tablets M-478 and M-479 may","classes of Indus inscriptions, although cases like the above cited tablets M-478 and M-479 may",239,2460,2025,73,2145,M,479,m,,,M-479 m
21,7,0,"Siva"" in the buffalo-horned deity of a famous seal from Mohenjo-daro (M-304)36 may well be","Siva"" in the buffalo-horned deity of a famous seal from Mohenjo-daro (M-304)36 may well be",132,781,2028,55,1765,M,304,,,,M-304
22,14,0,"tablets (M-494 and M-495), contain 26 signs each. The longest inscription on any single side of an","tablets (M-494 and M-495), contain 26 signs each. The longest inscription on any single side of an",134,1204,2043,52,394,M,494,a,,,M-494 a
22,14,1,"tablets (M-494 and M-495), contain 26 signs each. The longest inscription on any single side of an","tablets (M-494 and M-495), contain 26 signs each. The longest inscription on any single side of an",134,1204,2043,52,582,M,495,,,,M-495
22,15,0,object is found on a seal (M-314) with 17 signs divided into three lines.,object is found on a seal (M-314) with 17 signs divided into three lines.,134,1273,1428,53,711,M,314,,,,M-314
25,33,0,"to include, for example, K-119, a most interesting ‘terracotta cake’ from Kalibangan, though its","to include, for example, K-119, a most interesting ‘terracotta cake’ from Kalibangan, though its",190,2660,2043,57,775,K,119,,,,K-119
25,39,0,"51 See the discussion in chapter 2. In the past, some clearly imported seals like H-166 have often been treated as","51 See the discussion in chapter 2. In the past, some clearly imported seals like H-166 have often been treated as",191,3092,2046,59,1725,H,166,h,,,H-166 h
26,20,0,Late Harappan “inscription” from Rangpur (Rgp-2) has been reproduced in this volume along with,Late Harappan “inscription” from Rangpur (Rgp-2) has been reproduced in this volume along with,154,1602,2029,56,1136,P,2,,,,P-2
26,21,0,"the one original sherd that could be traced (Rgp-1). The ""Late Harappan inscriptions” from Machiala","the one original sherd that could be traced (Rgp-1). The ""Late Harappan inscriptions” from Machiala",154,1668,2031,54,1148,P,1,,,,P-1
27,7,0,and unweathered material (cf. M-221 and L-36). Thus the original and its impression complement,and unweathered material (cf. M-221 and L-36). Thus the original and its impression complement,178,695,2033,49,902,M,221,a,,,M-221 a
27,7,1,and unweathered material (cf. M-221 and L-36). Thus the original and its impression complement,and unweathered material (cf. M-221 and L-36). Thus the original and its impression complement,178,695,2033,49,1086,L,36,,,,L-36
27,13,0,"read directly (e.g., H-176).","read directly (e.g., H-176).",178,1098,550,50,639,H,176,,,,H-176
27,20,0,"e.g., M-32 a & M-208 a). And in the case of large seals especially, it is difficult to obtain a good","e.g., M-32 a & M-208 a). And in the case of large seals especially, it is difficult to obtain a good",180,1558,2036,53,373,M,32,a,,,M-32 a
27,20,1,"e.g., M-32 a & M-208 a). And in the case of large seals especially, it is difficult to obtain a good","e.g., M-32 a & M-208 a). And in the case of large seals especially, it is difficult to obtain a good",180,1558,2036,53,556,M,208,a,,,M-208 a
27,38,0,"e.g., that M-8/ a bis now makes M-8/ a irrelevant.","e.g., that M-8/ a bis now makes M-8/ a irrelevant.",192,3025,874,54,410,M,8,,,,M-8
27,38,1,"e.g., that M-8/ a bis now makes M-8/ a irrelevant.","e.g., that M-8/ a bis now makes M-8/ a irrelevant.",192,3025,874,54,777,M,8,,,,M-8
27,39,0,"60 Cf., ¢.g., H-141 and especially H-129. From M-277 a, an old impression, it can be seen that one corner was","60 Cf., ¢.g., H-141 and especially H-129. From M-277 a, an old impression, it can be seen that one corner was",193,3089,2039,53,520,H,141,a,,,H-141 a
27,39,1,"60 Cf., ¢.g., H-141 and especially H-129. From M-277 a, an old impression, it can be seen that one corner was","60 Cf., ¢.g., H-141 and especially H-129. From M-277 a, an old impression, it can be seen that one corner was",193,3089,2039,53,894,H,129,,,,H-129
27,39,2,"60 Cf., ¢.g., H-141 and especially H-129. From M-277 a, an old impression, it can be seen that one corner was","60 Cf., ¢.g., H-141 and especially H-129. From M-277 a, an old impression, it can be seen that one corner was",193,3089,2039,53,1137,M,277,a,,,M-277 a
27,40,0,"| originally missing from this seal, The restoration evidenced already in another carly impression, M-277 a bis, seems","| originally missing from this seal, The restoration evidenced already in another carly impression, M-277 a bis, seems",114,3156,2117,54,2006,M,277,a,,bis,M-277 a bis
28,33,0,"___ §1 This can sometime be tricky. For example, the seal L-84 at first sight seems to be complete even when one looks","___ §1 This can sometime be tricky. For example, the seal L-84 at first sight seems to be complete even when one looks",42,2665,2120,89,1137,L,84,a,,,L-84 a
28,39,0,"63 However, it was deemed unnecessary to show all the sides of some shapeless lumps (such as L-120). If side edges","63 However, it was deemed unnecessary to show all the sides of some shapeless lumps (such as L-120). If side edges",118,3065,2040,107,1826,L,120,,,,L-120
28,41,0,"® An additional letter G is used in M-494 and M-495 which, classified as three-sided prisms, actually are four-sided.","® An additional letter G is used in M-494 and M-495 which, classified as three-sided prisms, actually are four-sided.",116,3196,1967,95,780,M,494,a,,,M-494 a
28,41,1,"® An additional letter G is used in M-494 and M-495 which, classified as three-sided prisms, actually are four-sided.","® An additional letter G is used in M-494 and M-495 which, classified as three-sided prisms, actually are four-sided.",116,3196,1967,95,948,M,495,w,,,M-495 w
29,3,0,"M-418), these are given a separate Arabic numeral put within parentheses after the letter indicating the","M-418), these are given a separate Arabic numeral put within parentheses after the letter indicating the",186,522,2037,63,234,M,418,,,,M-418
29,4,0,"side: M-418 A (1), M-418 A (2), etc. The same is done if one picture gives a general view of a side","side: M-418 A (1), M-418 A (2), etc. The same is done if one picture gives a general view of a side",186,582,2036,66,422,M,418,A,1.0,,M-418 A (1)
29,4,1,"side: M-418 A (1), M-418 A (2), etc. The same is done if one picture gives a general view of a side","side: M-418 A (1), M-418 A (2), etc. The same is done if one picture gives a general view of a side",186,582,2036,66,689,M,418,A,2.0,,M-418 A (2)
29,5,0,and another an enlargement of its inscription (as in the case of the pots M-420 to M-422).,and another an enlargement of its inscription (as in the case of the pots M-420 to M-422).,185,654,1779,59,1716,M,420,t,,,M-420 t
29,5,1,and another an enlargement of its inscription (as in the case of the pots M-420 to M-422).,and another an enlargement of its inscription (as in the case of the pots M-420 to M-422).,185,654,1779,59,1875,M,422,,,,M-422
29,38,0,"57 Cf. e.g., E. Mackay, Further Excavations at Mohenjo-daro, Delhi 1938, Vol. II, no. 361 with M-153 below, |","57 Cf. e.g., E. Mackay, Further Excavations at Mohenjo-daro, Delhi 1938, Vol. II, no. 361 with M-153 below, |",168,3239,2122,55,2085,M,153,b,,,M-153 b
31,22,0,classification sequence. Thus the objects from Mohenjo-daro in this first volume are numbered M-1 to,classification sequence. Thus the objects from Mohenjo-daro in this first volume are numbered M-1 to,173,1856,2035,50,2136,M,1,t,,,M-1 t
31,23,0,"M-620, and they are followed by the objects from Harappa starting with H-1. The objects from","M-620, and they are followed by the objects from Harappa starting with H-1. The objects from",176,1922,2031,53,231,M,620,,,,M-620
31,23,1,"M-620, and they are followed by the objects from Harappa starting with H-1. The objects from","M-620, and they are followed by the objects from Harappa starting with H-1. The objects from",176,1922,2031,53,1776,H,1,,,,H-1
31,24,0,Mohenjo-daro in the second volume will start with M-621. Any number of additions can be made.,Mohenjo-daro in the second volume will start with M-621. Any number of additions can be made.,175,1989,1954,51,1278,M,621,,,,M-621
32,33,0,"undivided, see M-332).","undivided, see M-332).",140,2448,468,48,512,M,332,,,,M-332
32,35,0,square seal with a perforated undivided boss (M-353) is the last of the Square seals of Mohenjo-daro.,square seal with a perforated undivided boss (M-353) is the last of the Square seals of Mohenjo-daro.,139,2583,2008,77,1103,M,353,,,,M-353
33,4,0,"on the back side with a hole for the suspension cord going through the middle (cf, M-354 C).74","on the back side with a hole for the suspension cord going through the middle (cf, M-354 C).74",171,450,2033,52,2041,M,354,C,,,M-354 C
33,6,0,is shown by publishing the relevant side(s) (cf. M-407ff.). |,is shown by publishing the relevant side(s) (cf. M-407ff.). |,173,586,2108,85,1969,M,407,f,,,M-407 f
33,10,0,"| respect from the round ""Dilmun” seal (L-123). In the round seals of the Late Harappan period, the","| respect from the round ""Dilmun” seal (L-123). In the round seals of the Late Harappan period, the",90,838,2116,67,998,L,123,,,,L-123
33,11,0,suspension hole goes through the flat body of the seal (cf. C-45 to 50). With regard to the cylinder,suspension hole goes through the flat body of the seal (cf. C-45 to 50). With regard to the cylinder,173,921,2034,50,1454,C,45,t,,,C-45 t
33,13,0,from Harappa have been classified as incised tablets (H-368 and H-369).75,from Harappa have been classified as incised tablets (H-368 and H-369).75,174,1053,1498,53,1353,H,368,a,,,H-368 a
33,13,1,from Harappa have been classified as incised tablets (H-368 and H-369).75,from Harappa have been classified as incised tablets (H-368 and H-369).75,174,1053,1498,53,1538,H,369,,,,H-369
33,36,0,"74 The arch of the back is usually smooth (as in the case of M-354), sometimes edged (cf. M-374 C), but as this","74 The arch of the back is usually smooth (as in the case of M-354), sometimes edged (cf. M-374 C), but as this",172,2625,2036,48,1336,M,354,,,,M-354
33,36,1,"74 The arch of the back is usually smooth (as in the case of M-354), sometimes edged (cf. M-374 C), but as this","74 The arch of the back is usually smooth (as in the case of M-354), sometimes edged (cf. M-374 C), but as this",172,2625,2036,48,1887,M,374,C,,,M-374 C
33,40,0,writing has not yet been fixed in the early layers of Harappa. But the inscription in H-369 C connects this object with,writing has not yet been fixed in the early layers of Harappa. But the inscription in H-369 C connects this object with,173,2901,2035,44,1712,H,369,C,,,H-369 C
34,12,0,terracotta cone (M-619) and an incised shell ladle (M-620).,terracotta cone (M-619) and an incised shell ladle (M-620).,139,1123,1165,50,524,M,619,,,,M-619
34,12,1,terracotta cone (M-619) and an incised shell ladle (M-620).,terracotta cone (M-619) and an incised shell ladle (M-620).,139,1123,1165,50,1215,M,620,,,,M-620
35,3,0,"than one head (as do the three tigers joined into a rhomb in M-295 or the bison which, in addition to |","than one head (as do the three tigers joined into a rhomb in M-295 or the bison which, in addition to |",166,504,2110,57,1487,M,295,o,,,M-295 o
35,4,0,"its own head, has the head of the ‘unicorn’ in M-298) or, while composed of two or more animals,","its own head, has the head of the ‘unicorn’ in M-298) or, while composed of two or more animals,",167,579,2027,49,1212,M,298,,,,M-298
35,6,0,"each other and a fig tree and a cult object in M-296).7? The ""composite animal"", again, is a complete","each other and a fig tree and a cult object in M-296).7? The ""composite animal"", again, is a complete",166,706,2030,65,1160,M,296,,,,M-296
35,10,0,"middle body of the ‘unicorn’, the hind legs of the tiger, and the snake for a tail (cf. M-299 to M-","middle body of the ‘unicorn’, the hind legs of the tiger, and the snake for a tail (cf. M-299 to M-",167,979,2028,57,2041,M,299,t,,,M-299 t
35,17,0,snake (M-504 to 506) / markhor + unicorn (M-543 to 549) / two-headed zebu + tiger (7) + unicorn,snake (M-504 to 506) / markhor + unicorn (M-543 to 549) / two-headed zebu + tiger (7) + unicorn,167,1449,2028,58,391,M,504,t,,,M-504 t
35,17,1,snake (M-504 to 506) / markhor + unicorn (M-543 to 549) / two-headed zebu + tiger (7) + unicorn,snake (M-504 to 506) / markhor + unicorn (M-543 to 549) / two-headed zebu + tiger (7) + unicorn,167,1449,2028,58,1138,M,543,t,,,M-543 t
35,18,0,(M-550) / markhor + camel + buffalo (M-551 to 566) / zebu + tiger + buffalo (M-567 to 570) /,(M-550) / markhor + camel + buffalo (M-551 to 566) / zebu + tiger + buffalo (M-567 to 570) /,167,1521,2032,48,244,M,550,,,,M-550
35,18,1,(M-550) / markhor + camel + buffalo (M-551 to 566) / zebu + tiger + buffalo (M-567 to 570) /,(M-550) / markhor + camel + buffalo (M-551 to 566) / zebu + tiger + buffalo (M-567 to 570) /,167,1521,2032,48,1061,M,551,t,,,M-551 t
